[02-Mar-2021 00:24:47 UTC] Creating Auction!
[02-Mar-2021 00:25:44 UTC] Updating Auction!
[02-Mar-2021 00:26:42 UTC] Creating Auction!
[02-Mar-2021 01:21:19 UTC] Creating Auction!
[02-Mar-2021 01:21:56 UTC] Updating Auction!
[02-Mar-2021 01:25:05 UTC] Creating Auction!
[02-Mar-2021 01:25:22 UTC] Creating Auction!
[02-Mar-2021 01:26:00 UTC] Creating Auction!
[02-Mar-2021 01:26:29 UTC] Creating Auction!
[02-Mar-2021 01:26:47 UTC] Creating Auction!
[20-Apr-2021 00:10:22 UTC] Creating Auction!
[20-Apr-2021 00:10:46 UTC] Updating Auction!
[26-Apr-2021 00:47:43 UTC] PHP Parse error:  syntax error, unexpected '}', expecting end of file in C:\WebFolder\BTM\index.php on line 160
[26-Apr-2021 00:53:56 UTC] PHP Parse error:  syntax error, unexpected '}', expecting end of file in C:\WebFolder\BTM\index.php on line 160
[16-May-2021 19:10:52 UTC] PHP Warning:  mail(): Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in C:\WebFolder\BTM\contactFormSend.php on line 18
[16-May-2021 19:12:30 UTC] PHP Warning:  mail(): Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in C:\WebFolder\BTM\contactFormSend.php on line 18
[17-Aug-2021 02:23:03 UTC] PHP Notice:  Undefined index: selectComment in C:\WebFolder\BTM\contactFormSend.php on line 16
[17-Aug-2021 02:23:03 UTC] PHP Notice:  Undefined index: subject in C:\WebFolder\BTM\contactFormSend.php on line 19
[17-Aug-2021 02:23:05 UTC] PHP Warning:  mail(): Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in C:\WebFolder\BTM\contactFormSend.php on line 23
[17-Aug-2021 02:23:07 UTC] PHP Warning:  mail(): Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in C:\WebFolder\BTM\contactFormSend.php on line 30
[17-Aug-2021 02:23:58 UTC] PHP Notice:  Undefined index: selectComment in C:\WebFolder\BTM\contactFormSend.php on line 16
[17-Aug-2021 02:23:58 UTC] PHP Notice:  Undefined index: comment in C:\WebFolder\BTM\contactFormSend.php on line 17
[17-Aug-2021 02:23:58 UTC] PHP Notice:  Undefined index: message in C:\WebFolder\BTM\contactFormSend.php on line 18
[17-Aug-2021 02:23:58 UTC] PHP Notice:  Undefined index: subject in C:\WebFolder\BTM\contactFormSend.php on line 19
[17-Aug-2021 02:24:00 UTC] PHP Warning:  mail(): Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in C:\WebFolder\BTM\contactFormSend.php on line 23
[17-Aug-2021 02:24:02 UTC] PHP Warning:  mail(): Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in C:\WebFolder\BTM\contactFormSend.php on line 30
[17-Aug-2021 02:24:48 UTC] PHP Notice:  Undefined index: selectComment in C:\WebFolder\BTM\contactFormSend.php on line 16
[17-Aug-2021 02:24:48 UTC] PHP Notice:  Undefined index: comment in C:\WebFolder\BTM\contactFormSend.php on line 17
[17-Aug-2021 02:24:48 UTC] PHP Notice:  Undefined index: message in C:\WebFolder\BTM\contactFormSend.php on line 18
[17-Aug-2021 02:24:48 UTC] PHP Notice:  Undefined index: subject in C:\WebFolder\BTM\contactFormSend.php on line 19
[17-Aug-2021 02:24:50 UTC] PHP Warning:  mail(): Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in C:\WebFolder\BTM\contactFormSend.php on line 23
[17-Aug-2021 02:24:52 UTC] PHP Warning:  mail(): Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in C:\WebFolder\BTM\contactFormSend.php on line 30
[17-Aug-2021 02:25:03 UTC] PHP Notice:  Undefined index: condition in C:\WebFolder\BTM\assetservicesSend.php on line 18
[17-Aug-2021 02:25:05 UTC] PHP Warning:  mail(): Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in C:\WebFolder\BTM\assetservicesSend.php on line 29
[17-Aug-2021 02:25:07 UTC] PHP Warning:  mail(): Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in C:\WebFolder\BTM\assetservicesSend.php on line 36
[17-Aug-2021 02:25:54 UTC] PHP Warning:  mail(): Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in C:\WebFolder\BTM\assetservicesSend.php on line 29
[17-Aug-2021 02:25:56 UTC] PHP Warning:  mail(): Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in C:\WebFolder\BTM\assetservicesSend.php on line 36
[11-Sep-2021 18:08:22 UTC] PHP Parse error:  syntax error, unexpected 'else' (T_ELSE), expecting end of file in C:\WebFolder\BTM\assetservicesSend.php on line 83
